date,time,title,author,sbuject,resume
25/08/2023,17:14,"Piojos, sarna y chinches: Así es la sucia cárcel de Fulton donde Trump fue fichado este jueves",Roger Zuzunaga Ruiz,EEUU,"El expresidente de Estados Unidos, Donald Trump, debe presentarse en la cárcel del condado Fulton para ser fichado. Esta prisión es conocida por ..."
25/08/2023,17:14,Biden se burla de la foto policial de Trump: “Un tipo guapo”,Agencia EFE,EEUU,El presidente de EE. UU. hizo esas declaraciones a la prensa cuando salió de una clase de pilates a la que había asistido con su familia.
25/08/2023,17:14,"Japón vierte al mar agua de Fukushima: ¿Qué es tritio, el elemento radiactivo que no ha podido ser eliminado?",Roger Zuzunaga Ruiz,Asia,Desde este jueves Japón verterá en el mar el agua que usó para enfriar los reactores dañados de la central nuclear de Fukushima tras el terremoto...
25/08/2023,17:06,Francisco Hervás renunció al cargo de entrenador de la selección peruana de vóley,Redacción EC,Polideportivo,"Tras quedar en el último lugar del Sudamericano de Brasil. No obstante, su salida se dará después del Preolímpico de septiembre. "
25/08/2023,17:01,La Joaqui llega a Lima con su irreverente estilo para ofrecer concierto el 7 de octubre,Redacción EC,Música,Artista de música urbana se presentará por primera vez en Lima
25/08/2023,17:00,José Luna Gálvez: PJ confirma incorporación de Telesup en investigación por lavado de activos,Redacción EC,Justicia,"Según la tesis fiscal, dicha universidad habría sido utilizada para mantener parte del dinero ilícito entregado por Odebrecht para las campañas d..."
25/08/2023,16:55,Ebrard promete relaciones de México con el BRICS pero justifica no sumarse al bloque,Agencia EFE,México,"Esta declaración ocurre después de que el presidente mexicano, Andrés Manuel López Obrador, afirmara que México no se sumaría al BRICS."
25/08/2023,16:54,Cuánto quedó Real Madrid vs. Celta de Vigo por LaLiga | VIDEO,Redacción EC,España,Celta no pudo mantener el arco en cero ante Real Madrid Online por LaLiga EA Sports desde Balaídos
25/08/2023,16:53,Con Bellingham salvador: Real Madrid sufrió para derrotar a Celta de Vigo | VIDEO,Redacción EC,Fútbol mundial,"Real Madrid (1-0) Celta por LaLiga en Balaídos, con solitario gol de Jude Bellingham."
25/08/2023,16:52,"Real Madrid vs Celta (1-0): resultado, resumen y gol del partido por LaLiga EA Sports | VIDEO",Redacción EC,España,Real Madrid venció por la mínima diferencia a Celta por la jornada 3 de LaLiga de España.
25/08/2023,16:44,Guillermo Salas inicia demanda contra Alianza Lima por despido arbitrario | Liga 1 Betsson,Redacción EC,Fútbol peruano,"‘Chicho’ Salas, quien había sido despedido por malos resultados en la Liga 1 Betsson, realizó una demanda por desnaturalización de contratos de l..."
25/08/2023,16:43,Patricia Benavides: Poder Judicial admite a trámite acción de amparo contra dos miembros de la JNJ,Redacción EC,Actualidad,"La fiscal de la Nación planteó el recurso contra Inés Tello y Aldo Vásquez, el cual será evaluado en octubre de este año."
25/08/2023,16:20,¿Cuál fue el motivo por el que Reynoso convocó a Romero de Universitario y no a Campos de Alianza Lima?,Redacción EC,Qué,"Juan Reynoso, técnico de la selección peruana, dio a conocer una lista preliminar de convocados del torneo local de cara al inicio de las Elimina..."
25/08/2023,16:16,"Chelsea vs Luton (3-0): resultado, resumen y goles del partido por Premier League | VIDEO ",Redacción EC,Fútbol mundial,Chelsea se impuso ante Luton por la jornada 3 de la Premier League.
25/08/2023,16:16,Día del café peruano: cuándo se celebra y por qué debemos rendirle homenaje ,Redacción EC,Tendencias,"Esta fecha nos invita a conocer más del café peruano. En esta bebida podemos encontrar notas a chocolate, dulces, cítricas, florales, frutales, e..."
25/08/2023,16:10,"“Rick y Morty”, Temporada 7: Fecha confirmada de estreno",Redacción EC,Saltar intro,Ya tenemos la fecha confirmada de la Temporada 7 de “Rick y Morty” que saldrá en HBO Max. ¿Cuándo será? Aquí te lo contamos.
25/08/2023,16:05,Selección peruana: estas son las ausencias de la convocatoria de Juan Reynoso,Redacción EC,Selección,Ya conocemos quiénes son los convocados de la selección peruana y en El Comercio te mostramos las ausencias de la lista.
25/08/2023,16:05,Selección peruana: mira las sorpresas de la convocatoria para los duelos ante Paraguay y Brasil,Redacción EC,Selección,La selección peruana enfrentará a Paraguay y Brasil por el inicio de las Eliminatorias rumbo al Mundial 2026.
25/08/2023,16:01,"CyberDog 2: el perro robot de Xiaomi ahora es más ligero, inteligente y parecido a un perro real | VIDEO",Redacción EC,Robótica,El nuevo modelo de robot zoomorfo utiliza la inteligencia artificial  para un aprendizaje más rápido. Es más pequeño y ágil que su predecesor
25/08/2023,16:00,“Cuenta la historia” de El Comercio: así fue la entrevista a Gonzalo Torres y Bryan Albornoz en Canal N,Ángel Navarro,Series,"A pocos días del estreno de la segunda temporada, el conductor de la miniserie “Cuenta la Historia”, Gonzalo Torres, habla junto al director Brya..."
25/08/2023,15:59,"SJL: camioneta choca contra moto, destroza poste de luz y deja dos heridos",Redacción EC,Lima,"El accidente de tránsito ocurrió en la avenida Wiesse, paradero 13, cerca a la Línea 1 del Metro de Lima."
25/08/2023,15:51,"Wall Street cierra en verde y el Dow Jones sube un 0,73 % tras las declaraciones de Powell",Agencia EFE,Mercados,"Al término de las operaciones en la Bolsa de Nueva York, el Dow Jones subió hasta 34.346,9 puntos, mientras que el selectivo S&P 500 ascendió un ..."
25/08/2023,15:45,Interbank e Hiraoka firman alianza para ofrecer mejor experiencia de compra,Redacción EC,Negocios,Clientes de Hiraoka podrán acceder a una serie de beneficios exclusivos al utilizar sus tarjetas Interbank como medio de pago en sus tiendas y en...
25/08/2023,15:44,Flex vuelve a Perú luego de varios años como parte del “Retro Flow 2.0”,Redacción EC,Música,El cantante de música urbana vuelve a Perú como parte del festival “Retro Flow 2.0″ que se realizará el 9 de septiembre en el Club Cultural de Ch...
25/08/2023,15:27,¿Quiénes son los nuevos sentenciados y qué famosos se salvaron de “El Gran Chef Famosos”?,Redacción EC,Qué,Conoce a los seis participantes que pasaron a la tercera “Noche de Sentencia” de la temporada 3 del reality culinario.
25/08/2023,15:13,Gian Marco se une a Rubén Blades para el estreno de “Aún me sigo encontrando”,Redacción EC,Música,"El intérprete peruano estrenó su nuevo tema junto al destacado salsero, el cual llega junto a un videoclip en el que aparece su madre, Regina Alc..."
25/08/2023,15:10,Festival Cafezaso peruano: así será el evento gratuito para los amantes del café,Redacción EC,Tendencias,El festival que se propone ser una tribuna para marcas y proveedores de café peruano se realizará en Pueblo Libre. El ingreso será libre. Aquí te...
25/08/2023,15:07,Defensoría del Pueblo: urge ejecución de gasto en obras ante posibles lluvias por Fenómeno del Niño,Redacción EC,Lima,Se estima que la probabilidad de lluvias en la costa norte representaría el riesgo de al menos 131.761 personas.
25/08/2023,15:07,Avianca anuncia medidas de protección a usuarios afectados por suspensión de Viva Air,Redacción EC,Negocios,"Reubicación gratuita y descuentos en las tarifas, forman parte del acuerdo al que llegó la aerolínea con la Superintendencia de Industria y Comer..."
25/08/2023,15:03,JNE: ROP cuenta con 24 partidos políticos inscritos y otros 4 en proceso de inscripción,Redacción EC,Elecciones,El ROP tiene registrados hasta agosto del 2023 24 agrupaciones políticas que pueden participar en cualquier elección que se convoque.
25/08/2023,15:03,Níger expulsa al embajador de Francia por rechazar reunirse con los golpistas,Agencia EFE,África,"Francia fue uno de los principales socios económicos y militares de Níger, pero después del golpe de Estado que derrocó al presidente, Mohamed Ba..."
25/08/2023,15:01,Gol de Cristiano Ronaldo: el ‘Bicho’ anotó el 2-0 de Al Nassr vs Al Fateh | VIDEO,Redacción EC,Fútbol mundial,Cristiano Ronaldo marcó el 2-0 de Al Nassr vs Al Fateh por la Liga Profesional Saudí.
25/08/2023,15:01,Al Nassr 5-0 Al Fateh: resumen del partido con y goles de Cristiano Ronaldo | VIDEO,Redacción EC,Fútbol mundial,Al Nassr derrotó 5-0 a Al Fateh por Liga Saudita 2023 con goles de Cristiano Ronaldo
25/08/2023,14:59,Jennifer Hermoso desmiente sobre el beso a Luis Rubiales: “Me sentí vulnerable y víctima de una agresión”,Redacción EC,España,"En un comunicado a través de sus redes sociales, la campeona del mundo dio su versión de los hechos y denunció al mandamás del fútbol español."
25/08/2023,14:50,Puente Santa Rosa: por qué su retraso refleja problemas en el diseño de estudios de ingeniería,Apoyo Consultoría,Economía,"La obra no estará lista para inicios del 2025, cuando empiece a operar al nuevo terminal del Aeropuerto Jorge Chávez, por lo que Apoyo Consultorí..."
25/08/2023,14:49,Cadena perpetua a exasesora de Susel Paredes: todos los detalles de caso de abuso sexual contra dos menores,Hernán Medrano Marin,Judiciales,Tiffany Gómez Gonzáles (32) fue hallada culpable de los delitos de violación sexual contra dos menores de 12 años y contra la dignidad humana en ...
25/08/2023,14:49,¿Es realmente posible aplicar el plan de seguridad de Bukele en el Perú? Conoce los detalles aquí,Abby Ardiles,Perú,"Especialistas consultados por El Comercio señalaron que el modelo salvadoreño responde a otro contexto social, además de que es uno que se destac..."
25/08/2023,14:49,"CPL: “La Ley del libro vence en octubre y sin ella, en algunos casos, los libros podrían costar 25% a 30% más”",Claudia Inga Martínez,Día 1,"Antonio Moretti, gerente general de la Cámara Peruana del Libro, calcula que en un año y medio la industria del libro se recuperará, pero sin la ..."
25/08/2023,14:49,Una masacre sin culpables: el misterioso asesinato de los Tozzini en su residencia de Surco en 1997 | FOTOS,Carlos Batalla,Archivo El Comercio,"Fue uno de los actos criminales más recordados de la segunda mitad de la década de 1990. Ese 18 de marzo de 1997, una casa en la exclusiva zona d..."
25/08/2023,14:48,Una foto para la historia y el riesgo de ir preso: ¿por qué el juicio en Georgia es diferente al resto que ha enfrentado Trump?,Renzo Giner Vásquez,EEUU,"Este jueves el magnate neoyorquino pasó a los libros de historia como el primer expresidente de Estados Unidos en ser fichado como un criminal, c..."
25/08/2023,14:48,"Con una FPV en crisis y una reunión clave: respuestas a la realidad del vóley peruano, último en Sudamérica",Christian Cruz Valdivia,Polideportivo,"Luego de quedar últimas en el Sudamericano de Vóley, tras perder por primera vez ante Chile, una mirada a la actualidad de la selección peruana d..."
25/08/2023,14:41,Reynoso: “Queremos conocer a muchos Sub 23 e integrarlos para que ayuden en ese recambio generacional”,Redacción EC,Selección,Para el seleccionador nacional resulta indispensable que estos jugadores jóvenes vayan cogiendo ritmo para que puedan integrar las futuras convoc...
25/08/2023,14:41,El Cuarteto de Nos regresa al Perú con nuevo álbum inspirado en el test de Rorschach,Ángel Navarro,Música,La banda uruguaya se presentará en Lima el 27 de septiembre en el Anfiteatro del Parque de la Exposición como parte de su gira promocional “Lamin...
25/08/2023,14:29,Doblete de Cristiano Ronaldo: el portugués anota el 3-0 de Al Nassr vs. Al Fateh | VIDEO,Redacción EC,Fútbol mundial,El delantero portugués sigue ‘on fire’ y se despachó con un doblete en el duelo por la Liga de Arabia Saudita.
25/08/2023,14:29,¿Tiene su apoyo? Mark Vito confesó qué piensa su hija Kyara Villanella sobre su nueva faceta como tiktoker,Redacción EC,Respuestas,"El exesposo de Keiko Fujimori ha decidido incursionar en la creación de contenido, y poco a poco va acercándose a su primogénita en la cantidad d..."
25/08/2023,14:24,Reynoso sobre posible convocatoria de Ruidíaz: “Es un jugadorazo y no podemos dejar a jugadores de ese nivel fuera” | VIDEO,Redacción EC,Selección,"De acuerdo al seleccionador, el equipo no está para darse lujos de dejar fuera de las convocatorias a jugadores del nivel de Ruidíaz."
25/08/2023,14:22,Termina la ola de calor en el sur de Francia con cuatro días consecutivos de récord,Agencia EFE,Europa,"Esta semana se alcanzaron récords de temperatura en ciudades como Carcasona (43,2 grados), Orange (42,7), Toulouse (42,4), Lyon (41,4), Chambéry ..."
25/08/2023,14:20,Alejandro Soto: Esta es la moción de censura con la que buscan retirarlo de la presidencia del Congreso,Redacción EC,Congreso,"Según Roberto Sánchez, hasta este viernes 25 de agosto se habían juntado 18 de las 20 firmas necesarias para presentar la moción."
25/08/2023,14:19,Kimberly García: este es el fuerte monto que ganó en el Mundial de Atletismo 2023,Redacción EC,Polideportivo,La atleta dejó en alto en nombre del Perú durante el Mundial de Atletismo de Budapest tras posicionarse en la segunda posición.
25/08/2023,14:19,¿Reimond Manco jugará en Ecosem sin entrenar? El técnico Erick Torres se negó a este trato ‘especial’ y dijo esto,Redacción EC,Qué,"Reimond Manco tendrá un trato diferente que el resto de jugadores del Ecosem de Cerro de Pasco. Sin embargo, Erick Torres, técnico de dicho club,..."
25/08/2023,14:18,Día Internacional contra el Dengue: por qué es un día importante para el Perú y cuál es su origen,Redacción EC,Por qué,"Este sábado 26 de agosto es un día importante que invita a la reflexión de todos los peruanos, pues se celebra el Día Internacional contra el Den..."
25/08/2023,14:17,Día del Estilista y el Peluquero: por qué se festeja este viernes 25 de agosto y cuál es su origen,Redacción EC,Qué,"Este viernes 25 de agosto, en medio de gran expectativa, se celebra uno de los días más importantes en el mundo de la belleza y la moda"
25/08/2023,14:13,Soto contra las cuerdas,Editorial El Comercio,Editorial,"Las denuncias e investigaciones contra el presidente del Congreso no cesan y sus intentos por victimizarse, tampoco."
26/08/2023,23:34,Qué puede pasar ahora con el Grupo Wagner tras la muerte de Prigozhin,BBC News Mundo,Europa,Los analistas creen que las operaciones de los mercenarios se mantendrán debido a la utilidad que tienen tanto para expandir la influencia de Mos...
26/08/2023,23:12,Temblor en México: revisa los últimos sismos del 26 de agosto,Redacción EC,Mexico,Revisa aquí en vivo la última hora de la actividad sísmica en México reportada por el Servicio Sismológico Nacional (SSN).
26/08/2023,23:09,Ayacucho: adultos mayores celebraron su día mostrando sus habilidades con el trompo | VIDEO,Redacción EC,Ayacucho,Personas de la tercera edad recordaron sus años de infancia y juventud participando en un singular torneo de trompo que se disputó en la plaza ce...
26/08/2023,22:38,"Chivas vs. Santos en vivo, Liga MX: a qué hora juegan y en qué canal verlo",Redacción EC,Mexico,Sigue el partido entre Chivas vs. Santos Laguna en vivo online por el Torneo Apertura de la Liga MX.
26/08/2023,22:35,Victoria ajustada: Alianza Lima se impuso por la mínima ante Alianza Atlético | Liga 1 Betsson,Redacción EC,Fútbol peruano,"Con gol de Aldair Rodríguez, Alianza Lima derrotó a Alianza Atlético por el Torneo Clausura de la Liga 1 Betsson."
26/08/2023,22:30,Alianza Lima derrotó 1-0 a Alianza Atlético en Matute por la Liga 1 Betsson | RESUMEN Y GOL,Redacción EC,Fútbol peruano,"Mira el resumen del partido entre Alianza Lima vs. Alianza Atlético por la Liga 1 Betsson, desde el estadio Alejandro Villanueva."
26/08/2023,22:28,"América vs León (1-1): resultado, resumen y goles del partido por Liga MX | VIDEO",Redacción EC,Mexico,América vs León en vivo: partido en directo por la Jornada 6 del Apertura 2023 de la Liga MX desde el Estadio Azteca
26/08/2023,22:27,Cómo quedó América vs. León desde el Estadio Azteca | VIDEO,Redacción EC,Mexico,América empató 1-1 ante León por la Jornada 6 del Apertura 2023 de la Liga MX
26/08/2023,22:18,Cusco: menor fue hospitalizada tras ingerir una grapa durante horario de clases,Redacción EC,Cusco,El hecho ocurrió al interior de la institución educativa Luis Vallejos Santoni. Madre de la niña denunció que su hija es víctima de acoso escolar...
26/08/2023,22:13,Últimas noticias del Perú - Paraguay por las eliminatorias,Redacción EC,Cuándo,"Las Eliminatorias 2026 están a la vuelta de la esquina y el debut frente a Paraguay ya tiene fecha y horario. Conoce el día, a qué hora y cómo se..."
26/08/2023,22:09,"Últimas noticias del bono 600 este, 26 de agosto",Redacción EC,Quién,"El documento suscrito considera otorgar el presente año un bono de S/600 para los servidores públicos. Consulta aquí quiénes lo cobrarán, fecha d..."
26/08/2023,22:08,Resumen del partido Inter Miami vs. New York RB | VIDEO,Redacción EC,Argentina,Revive lo mejor del partido de Messi en el regreso de la MLS
26/08/2023,22:08,Con golazo de Messi: Inter Miami se impuso a New York Red Bull | VIDEO ,Redacción EC,Fútbol mundial,Gómez y Messi sentenciaron el triunfo del Inter Miami del Tata Martino en el reinicio de la MLS estadounidense
26/08/2023,22:08,"Últimas noticias del sueldo para docentes este, 26 de agosto",Redacción EC,Cuándo,Tras un nuevo acuerdo del Sindicato Único de Trabajadores en la Educación del Perú (Sútep) con el Minedu se logró un nuevo incremento en el salar...
26/08/2023,22:08,"Últimas noticias de los sismos ocurridos en Venezuela este, 26 de agosto",Redacción EC,Venezuela,¿Dónde y de cuántos grados fue el último sismo en Venezuela? Consulta el reporte de temblores en el país según la Fundación Venezolana de Investi...
26/08/2023,22:07,Inter Miami venció a New York en el debut de Messi por MLS | RESUMEN Y GOLES,Redacción EC,Argentina,Diego Gómez y Leo Messi le dieron la victoria a las ‘Garzas’ en el estadio Red Bull Arena de Nueva Jersey
26/08/2023,22:07,"Lo que se sabe de la licencia de conducir y su inscripción en el MTC este, 26 de agosto",Redacción EC,Cómo,A continuación te compartimos el link y los pasos que debes seguir para consultar si tu licencia de conducir o brevete está registrado en el sist...
